Date,Work(s),Kind,Seasonal arc,Anchor,Reason
2026-03-11,The Rape of Lucrece,Poem,Roman spring,Roman prelude,A grave Roman prelude: Lucrece's violation and the expulsion of the Tarquins open the year just before the republican Ides.
2026-03-12,The Rape of Lucrece,Poem,Roman spring,Roman prelude,A grave Roman prelude: Lucrece's violation and the expulsion of the Tarquins open the year just before the republican Ides.
2026-03-13,Julius Caesar,Play,Roman spring,Ides of March,Placed so March 15 falls inside the reading window; the play itself fixes the action to the Ides of March.
2026-03-14,Julius Caesar,Play,Roman spring,Ides of March,Placed so March 15 falls inside the reading window; the play itself fixes the action to the Ides of March.
2026-03-15,Julius Caesar,Play,Roman spring,Ides of March,Placed so March 15 falls inside the reading window; the play itself fixes the action to the Ides of March.
2026-03-16,Julius Caesar,Play,Roman spring,Ides of March,Placed so March 15 falls inside the reading window; the play itself fixes the action to the Ides of March.
2026-03-17,Julius Caesar,Play,Roman spring,Ides of March,Placed so March 15 falls inside the reading window; the play itself fixes the action to the Ides of March.
2026-03-18,Julius Caesar,Play,Roman spring,Ides of March,Placed so March 15 falls inside the reading window; the play itself fixes the action to the Ides of March.
2026-03-19,Antony and Cleopatra,Play,Roman spring,After Caesar,"Kept immediately after Julius Caesar, since it dramatizes the Roman aftermath and the founding of empire."
2026-03-20,Antony and Cleopatra,Play,Roman spring,After Caesar,"Kept immediately after Julius Caesar, since it dramatizes the Roman aftermath and the founding of empire."
2026-03-21,Antony and Cleopatra,Play,Roman spring,After Caesar,"Kept immediately after Julius Caesar, since it dramatizes the Roman aftermath and the founding of empire."
2026-03-22,Antony and Cleopatra,Play,Roman spring,After Caesar,"Kept immediately after Julius Caesar, since it dramatizes the Roman aftermath and the founding of empire."
2026-03-23,Antony and Cleopatra,Play,Roman spring,After Caesar,"Kept immediately after Julius Caesar, since it dramatizes the Roman aftermath and the founding of empire."
2026-03-24,Antony and Cleopatra,Play,Roman spring,After Caesar,"Kept immediately after Julius Caesar, since it dramatizes the Roman aftermath and the founding of empire."
2026-03-25,Antony and Cleopatra,Play,Roman spring,After Caesar,"Kept immediately after Julius Caesar, since it dramatizes the Roman aftermath and the founding of empire."
2026-03-26,Antony and Cleopatra,Play,Roman spring,After Caesar,"Kept immediately after Julius Caesar, since it dramatizes the Roman aftermath and the founding of empire."
2026-03-27,Coriolanus,Play,Roman spring,Civic tumult,"Another Roman state play, suited to the noisy, contentious beginning of the civic year."
2026-03-28,Coriolanus,Play,Roman spring,Civic tumult,"Another Roman state play, suited to the noisy, contentious beginning of the civic year."
2026-03-29,Coriolanus,Play,Roman spring,Civic tumult,"Another Roman state play, suited to the noisy, contentious beginning of the civic year."
2026-03-30,Coriolanus,Play,Roman spring,Civic tumult,"Another Roman state play, suited to the noisy, contentious beginning of the civic year."
2026-03-31,Coriolanus,Play,Roman spring,Civic tumult,"Another Roman state play, suited to the noisy, contentious beginning of the civic year."
2026-04-01,Coriolanus,Play,Roman spring,Civic tumult,"Another Roman state play, suited to the noisy, contentious beginning of the civic year."
2026-04-02,Coriolanus,Play,Roman spring,Civic tumult,"Another Roman state play, suited to the noisy, contentious beginning of the civic year."
2026-04-03,Coriolanus,Play,Roman spring,Civic tumult,"Another Roman state play, suited to the noisy, contentious beginning of the civic year."
2026-04-04,Sonnets 1-28,Poems,Spring lyric,Youth and increase,"The opening sonnets belong to spring: beauty, breeding, renewal, and the first pressure of time."
2026-04-05,Sonnets 1-28,Poems,Spring lyric,Youth and increase,"The opening sonnets belong to spring: beauty, breeding, renewal, and the first pressure of time."
2026-04-06,Sonnets 1-28,Poems,Spring lyric,Youth and increase,"The opening sonnets belong to spring: beauty, breeding, renewal, and the first pressure of time."
2026-04-07,Sonnets 1-28,Poems,Spring lyric,Youth and increase,"The opening sonnets belong to spring: beauty, breeding, renewal, and the first pressure of time."
2026-04-08,Sonnets 1-28,Poems,Spring lyric,Youth and increase,"The opening sonnets belong to spring: beauty, breeding, renewal, and the first pressure of time."
2026-04-09,Sonnets 1-28,Poems,Spring lyric,Youth and increase,"The opening sonnets belong to spring: beauty, breeding, renewal, and the first pressure of time."
2026-04-10,Sonnets 1-28,Poems,Spring lyric,Youth and increase,"The opening sonnets belong to spring: beauty, breeding, renewal, and the first pressure of time."
2026-04-11,The Comedy of Errors,Play,Spring comic rise,Quickening season,"Its velocity, confusions, and festive release suit the first true comic weather of the year."
2026-04-12,The Comedy of Errors,Play,Spring comic rise,Quickening season,"Its velocity, confusions, and festive release suit the first true comic weather of the year."
2026-04-13,The Comedy of Errors,Play,Spring comic rise,Quickening season,"Its velocity, confusions, and festive release suit the first true comic weather of the year."
2026-04-14,The Comedy of Errors,Play,Spring comic rise,Quickening season,"Its velocity, confusions, and festive release suit the first true comic weather of the year."
2026-04-15,The Comedy of Errors,Play,Spring comic rise,Quickening season,"Its velocity, confusions, and festive release suit the first true comic weather of the year."
2026-04-16,The Comedy of Errors,Play,Spring comic rise,Quickening season,"Its velocity, confusions, and festive release suit the first true comic weather of the year."
2026-04-17,The Two Gentlemen of Verona,Play,Spring comic rise,Young love,"A youthful courtship play for the season of departures, green roads, and first infatuations."
2026-04-18,The Two Gentlemen of Verona,Play,Spring comic rise,Young love,"A youthful courtship play for the season of departures, green roads, and first infatuations."
2026-04-19,The Two Gentlemen of Verona,Play,Spring comic rise,Young love,"A youthful courtship play for the season of departures, green roads, and first infatuations."
2026-04-20,The Two Gentlemen of Verona,Play,Spring comic rise,Young love,"A youthful courtship play for the season of departures, green roads, and first infatuations."
2026-04-21,The Two Gentlemen of Verona,Play,Spring comic rise,Young love,"A youthful courtship play for the season of departures, green roads, and first infatuations."
2026-04-22,The Two Gentlemen of Verona,Play,Spring comic rise,Young love,"A youthful courtship play for the season of departures, green roads, and first infatuations."
2026-04-23,Love's Labour's Lost,Play,Spring comic rise,Spring into song,Its scholastic spring ripens toward the remembered country year of 'when daisies pied.'
2026-04-24,Love's Labour's Lost,Play,Spring comic rise,Spring into song,Its scholastic spring ripens toward the remembered country year of 'when daisies pied.'
2026-04-25,Love's Labour's Lost,Play,Spring comic rise,Spring into song,Its scholastic spring ripens toward the remembered country year of 'when daisies pied.'
2026-04-26,Love's Labour's Lost,Play,Spring comic rise,Spring into song,Its scholastic spring ripens toward the remembered country year of 'when daisies pied.'
2026-04-27,Love's Labour's Lost,Play,Spring comic rise,Spring into song,Its scholastic spring ripens toward the remembered country year of 'when daisies pied.'
2026-04-28,Love's Labour's Lost,Play,Spring comic rise,Spring into song,Its scholastic spring ripens toward the remembered country year of 'when daisies pied.'
2026-04-29,Love's Labour's Lost,Play,Spring comic rise,Spring into song,Its scholastic spring ripens toward the remembered country year of 'when daisies pied.'
2026-04-30,As You Like It,Play,Green world,Arden in leaf,Read while the woods would be opening out: this is the green-world comedy par excellence.
2026-05-01,As You Like It,Play,Green world,Arden in leaf,Read while the woods would be opening out: this is the green-world comedy par excellence.
2026-05-02,As You Like It,Play,Green world,Arden in leaf,Read while the woods would be opening out: this is the green-world comedy par excellence.
2026-05-03,As You Like It,Play,Green world,Arden in leaf,Read while the woods would be opening out: this is the green-world comedy par excellence.
2026-05-04,As You Like It,Play,Green world,Arden in leaf,Read while the woods would be opening out: this is the green-world comedy par excellence.
2026-05-05,As You Like It,Play,Green world,Arden in leaf,Read while the woods would be opening out: this is the green-world comedy par excellence.
2026-05-06,As You Like It,Play,Green world,Arden in leaf,Read while the woods would be opening out: this is the green-world comedy par excellence.
2026-05-07,The Merry Wives of Windsor,Play,Green world,English festivity,"An English holiday comedy for the May-game stretch: Windsor, horned misrule, and common festivity."
2026-05-08,The Merry Wives of Windsor,Play,Green world,English festivity,"An English holiday comedy for the May-game stretch: Windsor, horned misrule, and common festivity."
2026-05-09,The Merry Wives of Windsor,Play,Green world,English festivity,"An English holiday comedy for the May-game stretch: Windsor, horned misrule, and common festivity."
2026-05-10,The Merry Wives of Windsor,Play,Green world,English festivity,"An English holiday comedy for the May-game stretch: Windsor, horned misrule, and common festivity."
2026-05-11,The Merry Wives of Windsor,Play,Green world,English festivity,"An English holiday comedy for the May-game stretch: Windsor, horned misrule, and common festivity."
2026-05-12,The Merry Wives of Windsor,Play,Green world,English festivity,"An English holiday comedy for the May-game stretch: Windsor, horned misrule, and common festivity."
2026-05-13,The Merry Wives of Windsor,Play,Green world,English festivity,"An English holiday comedy for the May-game stretch: Windsor, horned misrule, and common festivity."
2026-05-14,Much Ado About Nothing,Play,Late spring courtship,Wedding weather,The marriage plot and bright Sicilian air belong to the height of courtship season.
2026-05-15,Much Ado About Nothing,Play,Late spring courtship,Wedding weather,The marriage plot and bright Sicilian air belong to the height of courtship season.
2026-05-16,Much Ado About Nothing,Play,Late spring courtship,Wedding weather,The marriage plot and bright Sicilian air belong to the height of courtship season.
2026-05-17,Much Ado About Nothing,Play,Late spring courtship,Wedding weather,The marriage plot and bright Sicilian air belong to the height of courtship season.
2026-05-18,Much Ado About Nothing,Play,Late spring courtship,Wedding weather,The marriage plot and bright Sicilian air belong to the height of courtship season.
